iter	Passed	Remaining
0	18	18475
1	54	27106
2	73	24400
3	118	29395
4	203	40534
5	261	43258
6	296	42111
7	311	38668
8	325	35816
9	338	33476
10	349	31445
11	365	30108
12	379	28778
13	391	27607
14	405	26637
15	419	25775
16	432	24987
17	456	24877
18	485	25077
19	505	24756
20	530	24743
21	552	24563
22	571	24256
23	588	23928
24	618	24109
25	652	24436
26	669	24128
27	685	23783
28	701	23486
29	715	23131
30	729	22801
31	743	22504
32	755	22141
33	768	21820
34	784	21625
35	964	25815
36	979	25489
37	994	25170
38	1008	24862
39	1024	24584
40	1038	24287
41	1054	24050
42	1076	23951
43	1103	23979
44	1122	23815
45	1135	23544
46	1152	23368
47	1240	24607
48	1298	25209
49	1339	25449
50	1360	25320
51	1375	25071
52	1388	24811
53	1404	24600
54	1418	24374
55	1433	24165
56	1449	23985
57	1463	23775
58	1477	23568
59	1495	23430
60	1517	23357
61	1530	23160
62	1560	23205
63	1594	23322
64	1659	23873
65	1683	23830
66	1698	23658
67	1717	23540
68	1731	23367
69	1746	23207
70	1760	23037
71	1774	22872
72	1788	22717
73	1802	22561
74	1816	22403
75	1830	22253
76	1843	22103
77	1859	21981
78	1873	21844
79	1896	21806
80	1910	21675
81	1924	21549
82	1940	21439
83	1956	21332
84	1970	21211
85	1983	21080
86	1997	20964
87	2011	20848
88	2025	20738
89	2043	20666
90	2059	20567
91	2072	20450
92	2086	20346
93	2100	20241
94	2112	20123
95	2126	20025
96	2140	19930
97	2158	19863
98	2173	19779
99	2187	19690
100	2204	19624
101	2221	19558
102	2243	19541
103	2263	19504
104	2278	19420
105	2292	19337
106	2305	19241
107	2319	19159
108	2334	19079
109	2348	18999
110	2364	18933
111	2379	18868
112	2401	18851
113	2426	18861
114	2456	18902
115	2483	18929
116	2513	18969
117	2528	18902
118	2544	18837
119	2559	18767
120	2573	18695
121	2592	18654
122	2606	18584
123	2626	18558
124	2641	18487
125	2655	18417
126	2669	18349
127	2687	18310
128	2702	18250
129	2717	18188
130	2732	18124
131	2747	18066
132	2760	17993
133	2779	17961
134	2799	17935
135	2813	17876
136	2828	17814
137	2844	17765
138	2859	17710
139	2871	17639
140	2888	17598
141	2903	17545
142	2926	17536
143	2945	17512
144	2957	17438
145	2970	17372
146	2986	17327
147	3008	17319
148	3022	17264
149	3035	17198
150	3047	17137
151	3062	17083
152	3076	17030
153	3105	17061
154	3119	17008
155	3134	16957
156	3146	16894
157	3160	16844
158	3175	16794
159	3189	16747
160	3206	16707
161	3220	16660
162	3233	16602
163	3252	16579
164	3268	16538
165	3280	16482
166	3295	16436
167	3312	16406
168	3329	16371
169	3343	16322
170	3355	16267
171	3369	16222
172	3384	16177
173	3398	16131
174	3419	16119
175	3434	16079
176	3448	16033
177	3462	15988
178	3476	15945
179	3492	15911
180	3507	15872
181	3519	15819
182	3535	15785
183	3550	15744
184	3565	15708
185	3584	15688
186	3598	15644
187	3611	15600
188	3628	15568
189	3642	15529
190	3657	15490
191	3671	15450
192	3685	15409
193	3697	15360
194	3710	15319
195	3725	15282
196	3867	15765
197	3997	16192
198	4018	16176
199	4038	16153
200	4132	16425
201	4151	16400
202	4171	16376
203	4189	16348
204	4221	16371
205	4244	16359
206	4259	16319
207	4274	16274
208	4286	16221
209	4301	16182
210	4316	16139
211	4331	16099
212	4345	16057
213	4360	16014
214	4374	15970
215	4388	15928
216	4400	15877
217	4416	15842
218	4437	15824
219	4450	15777
220	4462	15729
221	4477	15689
222	4493	15655
223	4510	15626
224	4525	15587
225	4540	15549
226	4555	15511
227	4569	15471
228	4586	15442
229	4603	15413
230	4616	15368
231	4631	15333
232	4646	15295
233	4661	15259
234	4673	15215
235	4688	15177
236	4705	15148
237	4720	15112
238	4736	15079
239	4750	15044
240	4765	15006
241	4779	14970
242	4797	14946
243	4814	14916
244	4834	14897
245	4848	14860
246	4862	14822
247	4875	14785
248	4890	14750
249	4904	14713
250	4916	14670
251	4932	14641
252	4944	14599
253	4958	14564
254	4972	14528
255	4987	14493
256	5004	14468
257	5018	14432
258	5030	14393
259	5052	14379
260	5061	14332
261	5076	14299
262	5090	14265
263	5104	14230
264	5118	14197
265	5133	14165
266	5148	14135
267	5165	14107
268	5177	14068
269	5197	14052
270	5215	14029
271	5229	13997
272	5245	13969
273	5262	13942
274	5274	13904
275	5288	13872
276	5302	13840
277	5316	13807
278	5331	13778
279	5347	13751
280	5367	13733
281	5381	13701
282	5395	13670
283	5409	13638
284	5424	13608
285	5442	13586
286	5459	13562
287	5474	13535
288	5489	13504
289	5503	13475
290	5513	13433
291	5528	13403
