survived,pclass,sex,age,sibsp,parch,fare,embarked,class,who,adult_male,embark_town,alive,alone
0,3,1,32.97658333333334,0,0,8.4583,2,2,1,True,2,0,True
1,2,0,35.64221825396825,0,0,13.0,0,0,2,True,0,1,True
1,3,0,18.346999999999998,0,0,7.225,2,2,2,False,2,1,True
0,3,0,35.571486111111106,0,0,7.225,2,0,2,True,2,1,True
1,3,1,20.651428571428568,0,0,7.8792,2,2,1,False,2,0,True
0,3,1,26.76198549694611,0,0,7.8958,1,2,1,True,1,0,True
1,1,1,36.648,1,0,146.5208,2,0,1,False,2,0,False
1,3,1,18.63142857142857,0,0,7.75,2,2,0,False,2,0,True
1,3,0,21.80633333333333,0,0,7.2292,2,2,2,True,2,1,True
0,3,0,33.556181692920084,0,0,7.8958,0,1,0,True,0,1,True
0,3,0,31.065876522465345,0,0,8.05,2,2,0,True,2,1,True
0,3,0,35.90741666666667,1,0,15.5,2,0,2,True,2,1,False
1,3,1,18.63142857142857,0,0,7.75,2,2,1,False,2,0,True
0,3,1,24.824000000000005,2,0,21.6792,2,2,1,True,2,0,False
1,1,0,31.03,0,0,35.5,2,2,0,True,2,0,True
0,1,0,39.405,0,0,27.7208,2,1,2,True,2,1,True
1,3,1,25.849,1,1,15.2458,1,2,0,True,1,0,False
0,3,1,26.76198549694611,0,0,7.8958,2,1,1,True,2,1,True
0,3,0,31.065876522465345,0,0,8.05,2,2,2,True,2,0,True
1,3,0,19.411428571428573,0,0,7.7875,0,2,2,False,0,1,True
0,3,1,31.065876522465345,0,0,8.05,2,1,1,True,2,0,True
0,3,1,31.065876522465345,0,0,8.05,2,1,1,True,2,1,True
0,3,0,26.76198549694611,0,0,7.8958,1,2,0,True,1,1,True
1,3,1,26.2709582084582,0,0,7.775,2,0,1,True,2,1,True
1,3,0,29.235142857142854,1,0,24.15,2,2,0,False,2,0,False
0,3,0,31.065876522465345,0,0,8.05,2,2,2,True,2,1,True
0,3,1,48.25650595238094,0,0,7.75,0,2,1,True,0,0,True
1,3,1,27.94,1,1,22.3583,2,0,1,False,2,0,False
0,3,0,31.870714285714286,0,2,15.2458,1,2,2,False,1,1,False
0,3,1,31.996284812409804,0,0,7.3125,2,2,1,True,2,0,True
0,3,1,30.015,0,0,8.6625,0,0,1,True,0,0,True
0,3,0,20.858166666666666,8,2,69.55,0,0,2,True,0,1,False
1,1,0,33.755,0,1,55.0,1,2,2,False,1,1,False
0,1,1,60.191688311688296,0,0,25.925,2,1,1,True,2,0,True
0,3,1,26.001857142857144,3,1,25.4667,0,0,1,True,0,0,False
0,3,1,26.243166666666667,8,2,69.55,2,0,1,False,2,0,False
0,2,1,28.917333333333335,0,0,15.05,0,2,1,True,0,1,True
0,1,1,49.31,0,0,50.0,2,2,1,True,2,0,True
1,3,0,28.552777777777777,1,0,15.5,2,2,2,False,2,0,False
0,3,0,48.25650595238094,0,0,7.75,0,2,0,True,0,1,True
1,3,0,18.63142857142857,0,0,7.75,2,2,2,False,2,0,True
0,3,0,20.858166666666666,8,2,69.55,2,1,2,True,2,0,False
0,3,1,33.789291666666664,1,0,7.75,0,2,1,True,0,0,False
0,3,0,26.76198549694611,0,0,7.8958,0,1,0,True,0,1,True
0,3,0,26.63,3,1,25.4667,1,2,2,False,1,1,False
0,3,1,32.01066666666667,0,0,7.55,2,2,1,False,2,0,True
0,3,1,28.22883333333334,1,0,14.4542,1,2,1,False,1,0,False
1,3,0,28.552777777777777,1,0,15.5,1,2,2,False,1,1,False
0,3,1,31.996284812409804,0,0,7.25,0,2,1,True,0,0,True
1,1,0,29.72904761904762,0,0,79.2,2,2,2,False,2,0,True
0,3,1,48.25650595238094,0,0,7.75,2,2,0,True,2,0,True
0,3,1,27.677333333333337,0,0,7.75,2,2,1,False,2,0,True
0,1,0,56.26333333333333,0,0,31.0,0,0,2,True,0,1,True
1,3,0,18.63142857142857,0,0,7.75,2,1,2,False,2,1,True
0,2,1,34.656459437621194,0,0,0.0,0,0,1,True,0,0,True
0,1,1,60.441688311688296,0,0,26.0,2,0,1,True,2,1,True
0,1,0,39.405,0,0,27.7208,2,1,2,True,2,1,True
1,1,1,35.7725,0,0,30.5,0,2,1,True,0,0,True
